天数,日期,累计,日增,近7日平均日增,累计占总人口
0,2022-04-22,8,8,4,0.00%
1,2022-04-23,31,23,7,0.00%
2,2022-04-24,51,20,8,0.00%
3,2022-04-25,83,32,13,0.00%
4,2022-04-26,117,34,17,0.00%
5,2022-04-27,168,51,24,0.00%
6,2022-04-28,221,53,32,0.00%
7,2022-04-29,275,54,38,0.00%
8,2022-04-30,335,60,43,0.00%
9,2022-05-01,374,39,46,0.00%
10,2022-05-02,434,60,50,0.00%
11,2022-05-03,486,52,53,0.00%
12,2022-05-04,537,51,53,0.00%
13,2022-05-05,609,72,55,0.00%
14,2022-05-06,660,51,55,0.00%
15,2022-05-07,722,62,55,0.00%
16,2022-05-08,766,44,56,0.00%
17,2022-05-09,838,72,58,0.00%
18,2022-05-10,875,37,56,0.00%
19,2022-05-11,920,45,55,0.00%
20,2022-05-12,969,49,51,0.00%
21,2022-05-13,1025,56,52,0.00%
22,2022-05-14,1060,35,48,0.00%
23,2022-05-15,1109,49,49,0.00%
24,2022-05-16,1153,44,45,0.00%
25,2022-05-17,1213,60,48,0.00%
26,2022-05-18,1266,53,49,0.01%
27,2022-05-19,1323,57,51,0.01%
28,2022-05-20,1392,69,52,0.01%
29,2022-05-21,1452,60,56,0.01%
30,2022-05-22,1548,96,63,0.01%
31,2022-05-23,1594,46,63,0.01%
32,2022-05-24,1637,43,61,0.01%
33,2022-05-25,1682,45,59,0.01%
34,2022-05-26,1710,28,55,0.01%
35,2022-05-27,1738,28,49,0.01%
36,2022-05-28,1757,19,44,0.01%
37,2022-05-29,1768,11,31,0.01%
38,2022-05-30,1786,18,27,0.01%
39,2022-05-31,1800,14,23,0.01%
40,2022-06-01,1814,14,19,0.01%
41,2022-06-02,1830,16,17,0.01%
42,2022-06-03,1844,14,15,0.01%
43,2022-06-04,1862,18,15,0.01%
44,2022-06-05,1867,5,14,0.01%
45,2022-06-06,1870,3,12,0.01%
46,2022-06-07,1878,8,11,0.01%
47,2022-06-08,1879,1,9,0.01%
48,2022-06-09,1895,16,9,0.01%
49,2022-06-10,1965,70,17,0.01%
50,2022-06-11,2029,64,24,0.01%
