天数,日期,累计,日增,近7日平均日增,累计占总人口
0,2022-05-13,70959,70959,70959,2.47%
1,2022-05-14,154404,83445,77202,5.38%
2,2022-05-15,356582,202178,118861,12.42%
3,2022-05-16,428953,72371,107238,14.95%
4,2022-05-17,474500,45547,94900,16.53%
5,2022-05-18,515780,41280,85963,17.97%
6,2022-05-19,561102,45322,80157,19.55%
7,2022-05-20,595908,34806,74993,20.76%
8,2022-05-21,626098,30190,67385,21.82%
9,2022-05-22,647468,21370,41555,22.56%
10,2022-05-23,667560,20092,34087,23.26%
11,2022-05-24,683912,16352,29916,23.83%
12,2022-05-25,700201,16289,26346,24.40%
13,2022-05-26,712663,12462,21652,24.83%
14,2022-05-29,721947,9284,18006,25.15%
15,2022-05-30,727768,5821,14524,25.36%
16,2022-05-31,731462,3694,11999,25.49%
17,2022-06-01,733031,1569,9353,25.54%
18,2022-06-02,736062,3031,7450,25.65%
19,2022-06-03,738978,2916,5540,25.75%
