天数,日期,累计,日增,近7日平均日增,累计占总人口
0,2021-12-24,39,39,32,0.00%
1,2021-12-25,77,38,34,0.00%
2,2021-12-26,120,43,35,0.00%
3,2021-12-27,155,35,39,0.00%
4,2021-12-28,201,46,40,0.00%
5,2021-12-29,277,76,45,0.00%
6,2021-12-30,341,64,49,0.00%
7,2021-12-31,399,58,51,0.00%
8,2022-01-01,478,79,57,0.00%
9,2022-01-02,562,84,63,0.00%
10,2022-01-03,665,103,73,0.00%
11,2022-01-04,816,151,88,0.01%
12,2022-01-05,1176,360,128,0.01%
13,2022-01-06,1847,671,215,0.01%
14,2022-01-07,2769,922,339,0.02%
15,2022-01-08,3993,1224,502,0.03%
16,2022-01-09,5216,1223,665,0.04%
17,2022-01-10,6087,871,775,0.04%
18,2022-01-11,7049,962,890,0.05%
19,2022-01-12,9247,2198,1153,0.07%
20,2022-01-13,12371,3124,1503,0.09%
21,2022-01-14,16422,4051,1950,0.12%
22,2022-01-15,20983,4561,2427,0.15%
23,2022-01-16,25155,4172,2848,0.18%
24,2022-01-17,28874,3719,3255,0.21%
25,2022-01-18,34059,5185,3859,0.24%
26,2022-01-19,41436,7377,4598,0.29%
27,2022-01-20,50074,8638,5386,0.36%
28,2022-01-21,59773,9699,6193,0.43%
29,2022-01-22,71000,11227,7145,0.51%
30,2022-01-23,80468,9468,7902,0.57%
31,2022-01-24,88971,8503,8585,0.63%
32,2022-01-25,101784,12813,9675,0.72%
33,2022-01-26,115870,14086,10633,0.82%
34,2022-01-27,132408,16538,11762,0.94%
35,2022-01-28,150043,17635,12896,1.07%
36,2022-01-29,167476,17433,13782,1.19%
37,2022-01-30,183371,15895,14700,1.31%
38,2022-01-31,195104,11733,15162,1.39%
39,2022-02-01,209549,14445,15395,1.49%
40,2022-02-02,231125,21576,16465,1.65%
41,2022-02-03,251804,20679,17057,1.79%
42,2022-02-04,271602,19798,17366,1.93%
43,2022-02-05,292724,21122,17893,2.08%
44,2022-02-06,310250,17526,18126,2.21%
45,2022-02-07,322461,12211,18194,2.30%
46,2022-02-08,339574,17113,18575,2.42%
47,2022-02-09,357861,18287,18105,2.55%
48,2022-02-10,376752,18891,17850,2.68%
49,2022-02-11,395412,18660,17687,2.81%
50,2022-02-12,407177,11765,16350,2.90%
51,2022-02-13,420251,13074,15714,2.99%
52,2022-02-14,430585,10334,15446,3.07%
53,2022-02-15,446110,15525,15219,3.18%
54,2022-02-16,463441,17331,15083,3.30%
55,2022-02-17,481305,17864,14936,3.43%
56,2022-02-18,497434,16129,14575,3.54%
57,2022-02-19,510950,13516,14825,3.64%
58,2022-02-20,523885,12935,14805,3.73%
59,2022-02-21,532690,8805,14586,3.79%
60,2022-02-22,544133,11443,14003,3.87%
61,2022-02-23,558700,14567,13608,3.98%
62,2022-02-24,568869,10169,12509,4.05%
63,2022-02-25,579994,11125,11794,4.13%
64,2022-02-26,591556,11562,11515,4.21%
65,2022-02-27,601877,10321,11142,4.28%
66,2022-02-28,611349,9472,11237,4.35%
67,2022-03-01,623162,11813,11290,4.44%
68,2022-03-02,635855,12693,11022,4.53%
69,2022-03-03,648106,12251,11320,4.61%
70,2022-03-04,658623,10517,11233,4.69%
71,2022-03-05,669429,10806,11125,4.77%
72,2022-03-06,678718,9289,10977,4.83%
73,2022-03-07,684092,5374,10392,4.87%
74,2022-03-08,693017,8925,9979,4.93%
75,2022-03-09,703840,10823,9712,5.01%
76,2022-03-10,713920,10080,9402,5.08%
77,2022-03-11,722384,8464,9109,5.14%
78,2022-03-12,731548,9164,8874,5.21%
79,2022-03-13,739679,8131,8709,5.27%
80,2022-03-14,744515,4836,8632,5.30%
81,2022-03-15,752351,7836,8476,5.36%
82,2022-03-16,762572,10221,8390,5.43%
83,2022-03-17,771033,8461,8159,5.49%
84,2022-03-18,778858,7825,8068,5.54%
85,2022-03-19,786302,7444,7822,5.60%
86,2022-03-20,792804,6502,7589,5.64%
87,2022-03-21,796659,3855,7449,5.67%
88,2022-03-22,800192,3533,6834,5.70%
89,2022-03-23,806622,6430,6293,5.74%
90,2022-03-24,815497,8875,6352,5.81%
91,2022-03-25,822786,7289,6275,5.86%
92,2022-03-26,830226,7440,6275,5.91%
93,2022-03-27,838070,7844,6467,5.97%
94,2022-03-28,842614,4544,6565,6.00%
95,2022-03-29,850460,7846,7181,6.05%
96,2022-03-30,859980,9520,7623,6.12%
97,2022-03-31,867972,7992,7496,6.18%
98,2022-04-01,875954,7982,7595,6.24%
99,2022-04-02,883349,7395,7589,6.29%
100,2022-04-03,891248,7899,7597,6.34%
101,2022-04-04,895632,4384,7574,6.38%
102,2022-04-05,902600,6968,7449,6.43%
103,2022-04-06,911252,8652,7325,6.49%
104,2022-04-07,920005,8753,7433,6.55%
105,2022-04-08,928117,8112,7452,6.61%
106,2022-04-09,936219,8102,7553,6.66%
107,2022-04-10,944245,8026,7571,6.72%
108,2022-04-11,948807,4562,7596,6.75%
109,2022-04-12,955729,6922,7590,6.80%
110,2022-04-13,963982,8253,7533,6.86%
111,2022-04-14,972522,8540,7502,6.92%
112,2022-04-15,979290,6768,7310,6.97%
113,2022-04-16,986087,6797,7124,7.02%
114,2022-04-17,991307,5220,6723,7.06%
115,2022-04-18,994786,3479,6568,7.08%
116,2022-04-19,1000369,5583,6377,7.12%
117,2022-04-20,1007145,6776,6166,7.17%
118,2022-04-21,1013858,6713,5905,7.22%
119,2022-04-22,1019254,5396,5709,7.26%
120,2022-04-23,1024641,5387,5508,7.29%
121,2022-04-24,1029577,4936,5467,7.33%
122,2022-04-25,1032718,3141,5419,7.35%
123,2022-04-26,1037766,5048,5342,7.39%
124,2022-04-27,1043818,6052,5239,7.43%
125,2022-04-28,1049212,5394,5051,7.47%
126,2022-04-29,1053105,3893,4836,7.50%
127,2022-04-30,1055965,2860,4475,7.52%
